Belgium             Europe/Brussels
Turkey              Europe/Istanbul
India               Asia/Kolkata
China               Asia/Shanghai
USA                 US/Eastern
Indonesia           Asia/Jakarta
Pakistan            Asia/Karachi
Brazil              Brazil/East
Nigeria             Africa/Lagos
Bangladesh          Asia/Dhaka
Russia              Europe/Moscow
Mexico              America/Mexico_City
Japan               Asia/Tokyo
Philippines         Asia/Manila
Ethiopia            Africa/Addis_Ababa
Egypt               Africa/Cairo
Vietnam             Asia/Ho_Chi_Minh
Iran                Asia/Tehran
Germany             Europe/Berlin
Netherlands         Europe/Amsterdam
Portugal            Europe/Lisbon
UK                  Europe/Belfast
Australia           Australia/Canberra
Denmark             Europe/Copenhagen
Italy               Europe/Rome
Greece              Europe/Athens
Canada              Canada/Pacific
Morocco             Africa/Casablanca
Nepal               Asia/Kathmandu
UAE                 Asia/Dubai
Afghanistan         Asia/Kabul
Switzerland         Europe/Zurich
Czechia             Europe/Prague
France              Europe/Paris
Croatia             Europe/Zagreb
Israel              Asia/Jerusalem
New-Zealand         Pacific/Auckland
